NCS Header,Roll no,Center no,Test Code,SET No,Batch,PHY_Q1,PHY_Q2,PHY_Q3,PHY_Q4,PHY_Q5,PHY_Q6,PHY_Q7,PHY_Q8,PHY_Q9,PHY_Q10,PHY_Q11,PHY_Q12,PHY1,PHY2,PHY3,PHY4,PHY5,PHY6,PHY7,PHY8,CHE_Q1,CHE_Q2,CHE_Q3,CHE_Q4,CHE_Q5,CHE_Q6,CHE_Q7,CHE_Q8,CHE_Q9,CHE_Q10,CHE_Q11,CHE_Q12,CHE1,CHE2,CHE3,CHE4,CHE5,CHE6,CHE7,CHE8,MAT_Q1,MAT_Q2,MAT_Q3,MAT_Q4,MAT_Q5,MAT_Q6,MAT_Q7,MAT_Q8,MAT_Q9,MAT_Q10,MAT_Q11,MAT_Q12,MAT1,MAT2,MAT3,MAT4,MAT5,MAT6,MAT7,MAT8
Mulund,1818008,T012,1051461,1,,,,AB,,,,ACD,,,,A,A,2,2,,2,5,,,,AD,ACD,BC,,,,ACD,,,AB,C,A,1,6,1,3,2,6,,5,B,,AD,,,B,,AC,,,C,B,,,,,,,,
Mulund,1818027,T012,1051461,1,,,,,,,,,ABCD,ABD,,B,A,5,3,3,3,4,3,2,4,,C,ABC,ABC,CD,B,,,,,C,A,2,4,5,3,5,4,2,5,,,,,,,,,,,C,C,3,0,0,3,4,4,3,3
Mulund,1818032,T012,1051461,1,,C,AC,,,,,,,ABD,,A,A,2,2,,2,5,,,,,,BD,,A,,C,AD,ABC,,C,A,1,4,,,2,6,2,,B,,,,,B,,AB,,,C,B,2,2,,2,,,,3
Mulund,1818006,T012,1051461,1,,,,,,,,,,,,B,A,8,2,2,8,4,2,5,2,A,AD,ABCD,AC,ABC,BD,AC,BD,ABC,,C,A,1,4,4,3,3,8,,5,,,,,,,,,,,,,,,,,,,,
Mulund,1818037,T012,1051461,1,,,,,,,,,,,,B,A,,,,8,,,,,A,AD,ABC,AC,ABC,BD,AC,BD,ABC,,C,A,1,4,4,3,3,8,,5,,,,,,,,,,,D,B,,1,,,,3,,
Mulund,1818022,T012,1051461,1,,BD,BC,BD,C,C,BC,AC,BCD,A,AC,C,,,,,,,,,,C,BC,AB,A,AB,B,BCD,D,BD,BC,C,B,,,,,,,,,C,C,AD,A,AD,C,C,C,D,A,B,,,,,,,,,
Mulund,1818012,T012,1051461,1,,,,A,,AB,,,ABCD,ABD,BCD,B,A,5,3,3,,,,,,,,,,,,,,,,,,,,9,,5,,,,,,,,,,,,,,,,,3,7,9,,,,
Mulund,1818013,T012,1051461,1,,D,,ABD,ABC,AB,,,ABD,D,B,B,A,3,4,2,3,8,1,6,4,,AD,ABC,ABC,AC,B,,,,,C,B,3,5,2,4,0,6,2,5,,,,,,,,,,BD,B,C,000*,2,5,2,5,4,6,3
Vasai,1824033,T008,1051461,1,,,,,ABC,,,ABC,,BC,ABD,,,6,,2,,,,,3,A,AD,,,BC,B,AC,,,BD,,,5,5,10,2,2,2,,7,,,,,,,,,,,,,5,2,,00*8,,,6,4
Vasai,1824032,T008,1051461,1,,AC,,,ABC,,CD,,AD,ABC,BCD,,,,,,,4,,,3,,,,,,,,,,,,,,,,,,0,,,,A,,,,,,,,,,,,,,,,0,4,
Vasai,1824069,T008,1051461,1,,D,,,,,,,ABD,,,,,2,2,8,3,2,2,4,3,A,AD,,,ACD,B,AC,ABCD,,,,,4,2,8,8,2,2,,,AC,AC,ACD,,AC,AD,,ABC,,BD,,,4,0,3,1,7,3,5,6
Vasai,1824064,T008,1051461,1,,,,,D,,ACD,ABCD,,AB,BD,,,,,,,,,,,AB,,,,,B,ACD,,ABCD,,,A,,2,6,,4,4,2,6,,,,,B,,,A,,,,,,,,,,,,
Vasai,1824041,T008,1051461,1,,AD,,,,,AD,BD,AB,,,,,2,2,2,2,2,2,,0,,AD,,,AB,,BD,ACD,,,,,,5,3,2,4,7,,6,A,B,BC,,,,,,,,,,,,3,3,,,3,3
Vasai,1824038,T008,1051461,1,,,,,ABC,,,ABC,ABC,ABC,BCD,,,3,2,2,2,2,2,2,3,A,ABCD,,,AC,B,B,ABCD,B,BD,,,2,4,6,2,2,0,2,5,,AD,,ABC,AC,,BC,,,,,,4,4,4,4,4,4,4,4
Vasai,1824021,T008,1051461,1,,,AB,,BC,,CD,,,,,,,,,,,,,,,,,,,,BD,AD,,,AC,,,,,,,,,,,BC,,,,,,,,,,,,,,,,,,,
